linenum,url
1,https://www.njuskalo.hr/auti/toyota-yaris-1.0-vvt-61000-km-oglas-38887566
2,https://www.njuskalo.hr/auti/toyota-yaris-1.3-parking-senzori-eco-oglas-40096094
3,https://www.njuskalo.hr/auti/toyota-yaris-1.3-3-vvt-106.000-km-nije-uvoz-oglas-42280963
4,https://www.njuskalo.hr/auti/toyota-yaris-1.3-3-vvt-oglas-41400729
5,https://www.njuskalo.hr/auti/toyota-yaris-1.5-148tkm-reg-godinu-dana-servisna-navi-kamera-itd-oglas-42298552
6,https://www.njuskalo.hr/auti/toyota-yaris-1.0-vvt-hr-auto-klima-reg9-24-model-2009-kartice-oglas-41466650
7,https://www.njuskalo.hr/auti/toyota-aygo-1.0-vvt-oglas-42203535
8,https://www.njuskalo.hr/auti/toyota-yaris-hybrid-1.5-vvt-automatik-oglas-41308422
9,https://www.njuskalo.hr/auti/toyota-auris-1.4-d-4d-oglas-42319251
10,https://www.njuskalo.hr/auti/toyota-yaris-1.5-vvt-oglas-42202637
11,https://www.njuskalo.hr/auti/toyota-auris-1.8-oglas-41107170
12,https://www.njuskalo.hr/auti/toyota-iq-1.0-vvt-oglas-41390822
13,https://www.njuskalo.hr/auti/toyota-avensis-2.0-d-4d-12-2015-g-kamera-navi-bixenon-orig-km-oglas-41876312
14,https://www.njuskalo.hr/auti/toyota-prius-1.5-vvt-oglas-41123701
15,https://www.njuskalo.hr/auti/toyota-yaris-ii-automatik-1.4-d-4d-90ks-5l-100km-servisna-knj-6980e-oglas-41465904
16,https://www.njuskalo.hr/auti/toyota-corolla-verso-1.6-vvt-1-vlasnik-nije-uvoz-klima-servisi-2990e-oglas-40955772
17,https://www.njuskalo.hr/auti/toyota-aygo-1.0-vvt-50kw-2009g-reg-10-24g-extra-stanje-oglas-42268221
18,https://www.njuskalo.hr/auti/toyota-auris-1.2-turbo-2018-god-reg-02-2024-god-prvi-vlasnik-nije-uvoz-oglas-42317918
19,https://www.njuskalo.hr/auti/toyota-yaris-1.3-3-vvt-sport-oglas-42148250
20,https://www.njuskalo.hr/auti/toyota-yaris-1.33-knjiga-124-tkm-nov-nov-kred-kart-hr-aut-oglas-41995809
21,https://www.njuskalo.hr/auti/toyota-rav4-hybrid-awd-2.5-comfort-aut-oglas-42275055
22,https://www.njuskalo.hr/auti/toyota-auris-karavan-1.8-hybrid-oglas-41177679
23,https://www.njuskalo.hr/auti/toyota-c-hr-1.8-automatik-oglas-34268064
24,https://www.njuskalo.hr/auti/toyota-rav4-2.5-oglas-41003489
25,https://www.njuskalo.hr/auti/toyota-yaris-1.0-vvt-klima-nema-prijenosa-oglas-41775104
26,https://www.njuskalo.hr/auti/toyota-avensis-2.0d-4d-pano-koza-nav-park-kam-full-serv-knj-jamstvo-oglas-41528682
27,https://www.njuskalo.hr/auti/toyota-yaris-1.3-vvti-samo-101-000-km-oglas-42084129
28,https://www.njuskalo.hr/auti/toyota-corolla-verso-2.2-d-4d-7-sjedala-nije-uvoza-oglas-41882058
29,https://www.njuskalo.hr/auti/toyota-aygo-1.0-vvt-oglas-39952463
30,https://www.njuskalo.hr/auti/toyota-corolla-1.6-hr-auto-keyless-klima-grijanje-sjedala-alu-pdc-oglas-41993425
31,https://www.njuskalo.hr/auti/toyota-rav4-2.5-oglas-42176464
32,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-oglas-41319624
33,https://www.njuskalo.hr/auti/toyota-aygo-1.0-vvt-x-5-vrata-1-vl-nije-uvoz-reg-05-24-nema-5-oglas-42113390
34,https://www.njuskalo.hr/auti/toyota-verso-verso-1.6-d-4d-skyview-edition-panorama-alu-navi-kamera-oglas-42262369
35,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-4x2-oglas-41589639
36,https://www.njuskalo.hr/auti/toyota-rav4-2.0-d-4d-design-business-alu-navi-kamera-oglas-42284945
37,https://www.njuskalo.hr/auti/toyota-verso-1.6-d-4d-klima-panorama-navi-tempomat-koza-alu-jamstvo-oglas-41411723
38,https://www.njuskalo.hr/auti/toyota-auris-1.6-vvt-cool-automatik-oglas-41010259
39,https://www.njuskalo.hr/auti/toyota-yaris-1.3-3-vvt-oglas-40060928
40,https://www.njuskalo.hr/auti/toyota-auris-1.4-d4-d-automatik-165.000-km-oglas-40597954
41,https://www.njuskalo.hr/auti/toyota-corolla-1.8-hybrid-automatik-navi-tempomat-4x-garancija-oglas-41588441
42,https://www.njuskalo.hr/auti/toyota-c-hr-1.8-hybrid-automatik-navi-kamera-4x-garancija-oglas-39893443
43,https://www.njuskalo.hr/auti/toyota-c-hr-1.8-hybrid-automatik-navi-kamera-4x-garancija-oglas-39793256
44,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-automatik-navi-tempomat-4x-garancija-oglas-41805705
45,https://www.njuskalo.hr/auti/toyota-corolla-1.8-hybrid-automatik-navi-tempomat-4x-garancija-oglas-41805575
46,https://www.njuskalo.hr/auti/toyota-auris-touring-1.8-hybrid-navi-tempomat-4x-garancija-oglas-41530046
47,https://www.njuskalo.hr/auti/toyota-aygo-1.0-vvt-99.000-1-vlasnik-oglas-41810304
48,https://www.njuskalo.hr/auti/toyota-iq-1.0-vvt-reg-1-godinu-servisna-oglas-42164345
49,https://www.njuskalo.hr/auti/toyota-iq-1.0-vvt-oglas-37502094
50,https://www.njuskalo.hr/auti/toyota-corolla-1.8-vvt-hybrid-2020-60.000km-reg-1-god-oglas-40403763
51,https://www.njuskalo.hr/auti/toyota-yaris-1.5-vvt-sol-hybrid-52.000km-servisna-kamera-reg-oglas-41919474
52,https://www.njuskalo.hr/auti/toyota-yaris-hybrid-1.5-vvt-130.000km-kamera-reg-1-god-oglas-40963855
